PORTAL INFOCURSOS;;;;;;;;;;;;
;;;;;;;;;;;;
5) Distribuição dos alunos inscritos por sexo;;;;;;;;;;;;
;;;;;;;;;;;;
Estabelecimento;CodigoEstabelecimento;UnidadeOrganica;CodigoUnidadeOrganica;Natureza;TipoEnsino;NomeCurso;CodigoCurso;Grau;NumeroInscritos;NumeroHomens;NumeroMulheres;AnoLetivo
Universidade do Algarve;0200;Faculdade de Ciências e Tecnologia;0203;Publico;Universitario;Matemática Aplicada à Economia e à Gestão;9210;Licenciatura 1.º ciclo;48;28;20;2018/19
Universidade do Algarve;0200;Faculdade de Ciências e Tecnologia;0203;Publico;Universitario;Aquacultura e Pescas;9263;Mestrado 2.º ciclo;46;24;22;2018/19
Universidade do Algarve;0200;Faculdade de Ciências e Tecnologia;0203;Publico;Universitario;Engenharia Informática;9286;Mestrado 2.º ciclo;13;12;1;2018/19
Universidade do Algarve;0200;Faculdade de Ciências e Tecnologia;0203;Publico;Universitario;Engenharia Biológica;9358;Mestrado Integrado;10;4;6;2018/19
Universidade do Algarve;0200;Faculdade de Ciências e Tecnologia;0203;Publico;Universitario;Engenharia Eletrónica e Telecomunicações;9365;Mestrado Integrado;15;14;1;2018/19
Universidade do Algarve;0200;Faculdade de Ciências e Tecnologia;0203;Publico;Universitario;Biologia Marinha;9391;Mestrado 2.º ciclo;80;40;40;2018/19
Universidade do Algarve;0200;Faculdade de Ciências e Tecnologia;0203;Publico;Universitario;Biotecnologia;9399;Mestrado 2.º ciclo;14;7;7;2018/19
Universidade do Algarve;0200;Faculdade de Ciências e Tecnologia;0203;Publico;Universitario;Ciências Farmacêuticas;9494;Mestrado Integrado;240;55;185;2018/19
Universidade do Algarve;0200;Faculdade de Ciências e Tecnologia;0203;Publico;Universitario;Engenharia do Ambiente;9508;Mestrado Integrado;8;4;4;2018/19
Universidade do Algarve;0200;Faculdade de Ciências e Tecnologia;0203;Publico;Universitario;Bioengenharia;9540;Licenciatura 1.º ciclo;;;;2018/19
Universidade do Algarve;0200;Faculdade de Ciências e Tecnologia;0203;Publico;Universitario;Gestão Marinha e Costeira;L123;Licenciatura 1.º ciclo;45;31;14;2018/19
Universidade do Algarve;0200;Faculdade de Ciências e Tecnologia;0203;Publico;Universitario;Inovação Química e Regulamentação (Erasmus Mundus);M681;Mestrado 2.º ciclo;6;5;1;2018/19
Universidade do Algarve;0200;Faculdade de Ciências e Tecnologia;0203;Publico;Universitario;Sistemas Marinhos e Costeiros;M744;Mestrado 2.º ciclo;31;12;19;2018/19
Universidade do Algarve;0200;Faculdade de Ciências e Tecnologia;0203;Publico;Universitario;Recursos Biológicos Marinhos;M946;Mestrado 2.º ciclo;54;20;34;2018/19
Universidade do Algarve;0200;Faculdade de Economia;0204;Publico;Universitario;Contabilidade;6060;Mestrado 2.º ciclo;21;5;16;2018/19
Universidade do Algarve;0200;Faculdade de Economia;0204;Publico;Universitario;Gestão de Unidades de Saúde;6147;Mestrado 2.º ciclo;49;20;29;2018/19
Universidade do Algarve;0200;Faculdade de Economia;0204;Publico;Universitario;Economia da Inovação e Empreendedorismo;6287;Mestrado 2.º ciclo;4;3;1;2018/19
Universidade do Algarve;0200;Faculdade de Economia;0204;Publico;Universitario;Gestão de Marketing;6309;Mestrado 2.º ciclo;56;21;35;2018/19
Universidade do Algarve;0200;Faculdade de Economia;0204;Publico;Universitario;Gestão de Organizações Turísticas;6310;Mestrado 2.º ciclo;5;1;4;2018/19
Universidade do Algarve;0200;Faculdade de Economia;0204;Publico;Universitario;Finanças Empresariais;6920;Mestrado 2.º ciclo;44;24;20;2018/19
Universidade do Algarve;0200;Faculdade de Economia;0204;Publico;Universitario;Economia;9081;Licenciatura 1.º ciclo;138;80;58;2018/19
Universidade do Algarve;0200;Faculdade de Economia;0204;Publico;Universitario;Gestão de Empresas;9152;Licenciatura 1.º ciclo;246;139;107;2018/19
Universidade do Algarve;0200;Faculdade de Economia;0204;Publico;Universitario;Sociologia;9240;Licenciatura 1.º ciclo;108;26;82;2018/19
